id	category	type	en	ko	zh	kk	bn	uz	options
Q59	Academic Advisor	likert	"My academic advisor respects and supports my unique background, identity, and experiences when providing guidance."	"→ 학사 상담교수는 상담 과정에서 저의 고유한 배경, 정체성, 경험을 존중하고 지원합니다."	??指?老?在咨??程中尊重?支持我?特的背景、身?和??。	"Академиялы? ке?есш?м ке?ес берген кезде мен?? ерекше ?м?рбаянымды, жеке басымды ж?не т?ж?рибемд? ??рметтейд? ж?не ?олдайды."	"???? ?????? ???????? ????????? ???????? ???? ???? ????? ??????, ?????? ??? ?????????? ?????? ???? ??? ?????? ?????"	"Akademik maslahatchim yo'l-yo'riq ko'rsatishda mening noyob tajribamni, shaxsiyatimni va tajribamni hurmat qiladi va qo'llab-quvvatlaydi."	
Q60	Academic Advisor	likert	"My academic advisor has helped me explore opportunities for post-graduation, such as internships, research positions, or further study."	"→ 학사 상담교수는 인턴십, 연구직, 추가 학위 과정 등 졸업 후 진로 기회를 탐색하는 데 도움을 주었습니다."	??指?老??助我探索??、?究?位和??深造等??后的?展机?。	"Академиялы? ке?есш?м ма?ан та?ылымдамадан ?ту, ?ылыми лауазымдар немесе одан ?р? о?у сия?ты аспирантура м?мк?нд?ктер?н зерттеуге к?мектест?."	"???? ?????? ???????? ????? ????????????? ????????? ??????? ???? ??????? ??????, ???? ???????????, ?????? ??, ?? ??? ?????????"	"Akademik maslahatchim menga amaliyot, ilmiy lavozimlar yoki qo'shimcha o'qish kabi aspirantura imkoniyatlarini o'rganishda yordam berdi."	
Q61	Academic Advisor	likert	The academic advisor helps me set goals to work towards.	→ 학사 상담교수는 제가 향후를 위해 노력해야 할 목표를 설정하도록 도와줍니다.	??指?老??助我?定今后努力?成的目?。	Академиялы? ке?есш? ма?ан ал?а жылжу ?ш?н ма?саттар ?ою?а к?мектесед?.	?????? ???????? ????? ?????? ???????? ???? ??????? ?????	Akademik maslahatchi menga intilish uchun maqsadlar qo'yishda yordam beradi.	
Q62	Academic Advisor	likert	I fully understand the career-tracks.	→ 저는 제공되는 진로 트랙을 충분히 이해하고 있습니다.	我??校提供的各????展路?有充分了解。	Мен мансапты? ба?ыттарды толы? т?с?нем?н.	??? ???????????? ?????? ???????????? ????? ?????	Men martaba yo'nalishlarini to'liq tushunaman.	
Q63	Academic Advisor	text	Additional Comments/Suggestions	→ 추가 의견/제안	其他意?／建?	?осымша п?к?рлер/?сыныстар	???????? ???????/???????	Qo'shimcha izohlar/takliflar	
Q63	Academic Affairs	likert	"When I go to the Academic Affairs Office on the W19 2nd floor, I know who is responsible for what and whom I need to approach to deal with my situation."	"→ W19 2층 학사과에 갈 때, 어떤 업무를 누가 담당하는지, 제 상황을 위해 누구를 찾아가야 하는지 알고 있습니다."	?我前往 W19 二?????，我?楚每???由???，也知道??自己的情?????。	"W19 2-?абатында?ы Академиялы? ?стер ке?сес?не бар?ан кезде, мен к?м не ?ш?н жауапты екен?н ж?не жа?дайымды шешу ?ш?н к?мге хабарласуым керект?г?н б?лем?н."	"??? ??? W19 ???????? ????? ??????? ???????? ???????????? ????? ???, ??? ??? ???? ?? ???? ????????? ???????? ???? ???? ????? ??? ??? ???? ??????? ???? ????"	"W19 2-qavatidagi Akademik ishlar bo'limiga borganimda, kim nima uchun mas'ul ekanligini va vaziyatimni hal qilish uchun kimga murojaat qilishim kerakligini bilaman."	
Q64	Academic Affairs	likert	"The staff in the Academic Affairs Office is approachable, helpful, friendly, professional, and competent."	"→ 학사과 직원들은 쉽게 다가갈 수 있고, 도움을 잘 주며, 친절하고, 전문적이며 유능합니다."	???工作人?平易近人、?于助人、友好??且能力出?。	"Академиялы? ?стер б?л?м?н?? ?ызметкерлер? ашы?, к?мекш?л, досты?, к?с?би ж?не б?л?кт?."	"???????? ???????????? ?????? ??????? ???????, ??????, ?????????????, ??????? ??? ?????"	"Akademik ishlar bo'limi xodimlari ochiqko'ngil, yordamchi, do'stona, professional va malakali."	
Q65	Academic Affairs	likert	"I am familiar with the academic calendar and the academic policies in Endicott, such as adding/dropping courses, grading system, credit requirement, official excuse, leave of absence, returning to school, etc."	"→ 저는 엔디컷의 학사 일정과 수강 신청/취소, 성적 평가 방식, 이수 학점 기준, 공결, 휴학, 복학 등 학사 규정을 잘 알고 있습니다."	我熟悉 Endicott 的?年日程以及??／退?、?分方式、?分要求、?假、休?、??等???定。	"Мен Эндикотта?ы академиялы? к?нт?збемен ж?не академиялы? саясатпен таныспын, мысалы, курстарды ?осу/алып тастау, ба?алау ж?йес?, кредит талабы, ресми сылтау, демалыс, о?у?а оралу ж?не т.б."	"??? ????????? ???????? ??????????? ??? ???????? ????????? ???? ??????, ???? ????? ??? ???/???? ??????, ??????? ???????, ??????? ?????????????, ????????? ??????, ??????????? ????, ?????? ???? ??? ????????"	"Men Endicottdagi akademik taqvim va akademik siyosatlar bilan tanishman, masalan, kurslarni qo'shish/tushirish, baholash tizimi, kredit talabi, rasmiy uzr, ta'til, o'qishga qaytish va boshqalar."	
Q66	Academic Affairs	likert	"I am familiar with the types of academic documents issued by the Academic Affairs Office, such as transcripts, certificate of enrolment, etc., and I know where to get them."	"→ 저는 학사과에서 발급하는 성적표, 재학증명서 등 학사 문서의 종류를 알고 있으며, 발급 장소도 잘 알고 있습니다."	我了解???可以?具的各??籍?明，如成??、在??明等，也?楚在?里?理。	"Мен Академиялы? ?стер б?л?м?н?? транскрипттер?, о?у?а т?су туралы ку?л?г? ж?не т.б. сия?ты академиялы? ??жаттарыны? т?рлер?мен таныспын ж?не оларды ?айдан алу керект?г?н б?лем?н."	"??? ??????? ?????? ???? ??? ???????? ???? ???????? ???? ??????, ???? ??????????????, ????????????? ??????????? ???????, ??? ??? ???? ?? ?????? ?????? ????"	"Men Akademik ishlar bo'limi tomonidan beriladigan akademik hujjatlar turlari, masalan, transkriptlar, ro'yxatdan o'tish sertifikati va boshqalar bilan tanishman va ularni qaerdan olishni bilaman."	
Q67	Academic Affairs	likert	Endicott offers a world-class curriculum.	→ 엔디컷은 세계적 수준의 교육과정을 제공합니다.	Endicott 提供世界一流的?程?系。	Эндикот ?лемд?к де?гейдег? о?у ба?дарламасын ?сынады.	??????? ???? ?????????? ????????? ???? ????	Endicott jahon darajasidagi o'quv dasturini taklif qiladi.	
Q68	Academic Affairs	likert	The class schedule is reasonable and convenient.	→ 수업 시간표는 합리적이고 편리합니다.	?程??安排合理、方便。	Саба? кестес? а?ыл?а ?онымды ж?не ы??айлы.	??????? ???????? ??????????? ??? ??????????	Dars jadvali oqilona va qulay.	
Q69	Academic Affairs	likert	The curriculum and classroom discussions reflect diverse global perspectives and respect cultural differences.	→ 교육과정과 수업 토론은 다양한 글로벌 관점을 반영하며 문화적 차이를 존중합니다.	?程?置??堂????了多元的全球?角，?尊重文化差?。	О?у ба?дарламасы мен сыныпта?ы тал?ылаулар ?рт?рл? жа?анды? к?з?арастарды к?рсетед? ж?не м?дени айырмашылы?тарды ??рметтейд?.	????????? ??? ?????????? ?????? ??????? ??????????? ??????????? ????????? ??? ??? ?????????? ?????????? ?????? ????	O'quv dasturi va sinfdagi muhokamalar turli global nuqtai nazarlarni aks ettiradi va madaniy farqlarni hurmat qiladi.	
Q70	Academic Affairs	likert	"Academic Affair Department respects and supports my unique background, identity, and experiences when providing guidance."	"→ 학사과는 안내 및 상담 과정에서 저의 고유한 배경, 정체성, 경험을 존중하고 지원합니다."	???在提供咨?和?助?，尊重?支持我?特的背景、身?和??。	"Академиялы? ?стер б?л?м? басшылы? берген кезде мен?? ерекше ?м?рбаянымды, жеке басымды ж?не т?ж?рибемд? ??рметтейд? ж?не ?олдайды."	"?????? ?????? ????? ????????? ???????? ???? ???? ????? ??????, ?????? ??? ?????????? ?????? ??? ??? ?????? ????"	"Akademik ishlar bo'limi ko'rsatmalar berishda mening noyob kelib chiqishim, shaxsiyatim va tajribalarimni hurmat qiladi va qo'llab-quvvatlaydi."	
Q71	Academic Affairs	likert	I am aware of the courses I need to take and the sequence I should take for graduation/transfer.	→ 졸업 또는 편입을 위해 어떤 과목을 어떤 순서로 수강해야 하는지 알고 있습니다.	我?楚???或??需要?修?些?程以及修?的先后?序。	Мен о?уым керек курстарды ж?не б?т?ру/ауысу ?ш?н ?андай ретт?л?кпен о?уым керект?г?н б?лем?н.	??? ??????/???????????? ???? ???? ?? ????????? ????? ??? ???? ??? ?????? ????? ??? ???? ?? ???????? ??????	Men o'qishim kerak bo'lgan kurslar va bitiruv/o'qishni o'tkazish uchun o'qishim kerak bo'lgan ketma-ketlikdan xabardorman.	
Q72	Academic Affairs	likert	The overall course registration process is convenient.	→ 전체 수강 신청 절차는 편리합니다.	整???流程十分便利。	Курс?а т?ркелуд?? жалпы процес? ы??айлы.	???????? ????? ??????? ???????????? ??????????	Kursga ro'yxatdan o'tishning umumiy jarayoni qulay.	
Q73	Academic Affairs	likert	There is commitment to academic excellence in both service and intellectual/research manner.	→ 엔디컷은 행정 서비스와 교육·연구 측면 모두에서 학문적 우수성을 위해 노력하고 있습니다.	Endicott 在行政服????科??方面都致力于追求??卓越。	?ызмет к?рсету ж?не интеллектуалды?/зерттеу т?р?ысынан академиялы? жет?ст?кке ?мтылу бар.	???? ??? ???????/?????? ???? ????????? ???????? ????????? ????? ?????????????	Xizmat ko'rsatish va intellektual/tadqiqot sohasida akademik mukammallikka sodiqlik mavjud.	
Q74	Academic Affairs	likert	"The Welcome Convocation (Start of the semester) and Commencement (end of semester) are well-organized, and I enjoy taking part in them."	"→ 개강 행사와 학기말 졸업식은 잘 운영되며, 저는 이 행사에 참여하는 것을 즐깁니다."	??典?和?期末的??典???有序，我也?享受???些活?。	?ош келд???здер жиналысы (семестрд?? басы) ж?не о?уды б?т?ру (семестрд?? со?ы) жа?сы ?йымдастырыл?ан ж?не мен олар?а ?атысуды ?натамын.	"??????? ???????? (??????????? ????) ??? ???? (??????????? ???) ????????, ??? ??? ??? ???????? ???? ????? ????"	Xush kelibsiz uchrashuvi (semestr boshlanishi) va bitiruv (semestr oxirida) yaxshi tashkil etilgan va men ularda ishtirok etishdan zavqlanaman.	
Q75	Academic Affairs	text	Additional Comments/Suggestions	→ 추가 의견/제안	其他意?／建?	?осымша п?к?рлер/?сыныстар	???????? ???????/???????	Qo'shimcha sharhlar/takliflar	
Q75	Study Abroad	likert	I am fully informed of exchange opportunities available to me.	→ 저는 저에게 제공되는 교환학생 기회에 대해 충분히 알고 있습니다.	我?自己可?得的交??目机?非常了解。	Менде ?олжет?мд? алмасу м?мк?нд?ктер? туралы толы? а?парат бар.	???? ???? ?????? ??????? ????????? ???????? ??? ???????????? ??????	Men uchun mavjud almashinuv imkoniyatlari haqida to'liq xabardorman.	
Q76	Study Abroad	likert	"Endicott takes an active interest in promoting student exchange, dual degree opportunities for students."	→ 엔디컷은 학생 교환 및 복수학위 기회를 적극적으로 장려하고 있습니다.	Endicott ??推??生交????位?目。	"Endicott студенттер алмасуын, студенттерге арнал?ан ?ос диплом м?мк?нд?ктер?н ?лгер?летуге белсенд? ?ызы?ушылы? танытады."	"??????? ????? ???????, ????????????? ???? ????? ?????? ????? ??????? ??????? ???????"	"Endicott talabalar almashinuvini, talabalar uchun ikki tomonlama diplom olish imkoniyatlarini ilgari surishda faol ishtirok etadi."	
Q77	Study Abroad	likert	"When I seek information about exchange and dual degree opportunities, I know where to go, who is responsible, and whom I need to approach to deal with my situation."	"→ 교환·복수학위 프로그램에 대한 정보를 찾을 때, 어디로 가야 하고 누가 담당자인지, 제 상황을 위해 누구를 찾아가야 하는지 알고 있습니다."	?我想了解交?或??位?目?，我知道?去?里、??位??人以及如何就自身情??求?助。	"Мен алмасу ж?не ?ос диплом м?мк?нд?ктер? туралы а?парат ?здеген кезде, ?айда бару керект?г?н, к?м жауапты екен?н ж?не жа?дайымды шешу ?ш?н к?мге ж?г?ну керект?г?н б?лем?н."	"??? ??? ??????? ??? ????? ?????? ????? ???????? ???? ???, ??? ??? ???? ?????? ???? ???, ?? ????? ??? ???? ????????? ???????? ???? ???? ???? ??? ???? ??????? ??? ?????"	"Men almashinuv va ikki tomonlama diplom olish imkoniyatlari haqida ma'lumot qidirganimda, qayerga borishni, kim mas'ul ekanligini va vaziyatimni hal qilish uchun kimga murojaat qilishim kerakligini bilaman."	
Q78	Study Abroad	likert	"I receive sufficient support after completing an exchange or dual-degree program, such as credit transfer assistance and integration back into my studies."	"→ 교환 또는 복수학위 프로그램을 마친 후, 학점 인정 및 복학·학업 적응을 위한 충분한 지원을 받고 있습니다."	在完成交?或??位?目后，我在?分??以及重新?接??方面得到了充分支持。	"Мен алмасу немесе ?ос диплом ба?дарламасын ая?та?аннан кей?н жетк?л?кт? ?олдау аламын, мысалы, кредиттерд? аудару?а к?мек ж?не о?уыма ?айта интеграциялау."	"???? ??????? ?? ?????-?????? ????????? ??????? ???? ??? ??? ???????? ??????? ???, ???? ??????? ?????????? ??????? ??? ???? ?????????? ???? ???? ???? ???????"	"Men almashinuv yoki ikki tomonlama diplom dasturini tugatgandan so'ng, kredit o'tkazish yordami va o'qishimga qayta integratsiya kabi yetarli yordam olaman."	
Q79	Study Abroad	likert	"Exchange and dual-degree opportunities at Endicott are accessible and promoted equitably to students from all backgrounds (e.g., nationality, financial status, language ability, etc.)."	"→ 엔디컷의 교환 및 복수학위 기회는 국적, 경제적 여건, 언어 능력 등 다양한 배경의 학생들에게 공평하게 제공·홍보되고 있습니다."	Endicott 的交?和??位机?能公平地向不同?籍、????和?言能力等背景的?生?放??行宣?。	"Endicott-та?ы алмасу ж?не ?ос диплом м?мк?нд?ктер? барлы? ортадан шы??ан студенттер ?ш?н ?олжет?мд? ж?не ?д?л т?рде насихатталады (мысалы, азаматты?ы, ?аржылы? жа?дайы, т?лд?к ?аб?лет? ж?не т.б.)."	"???????? ??????? ??? ?????-?????? ????????? ??? ??????? (????, ????????, ?????? ??????, ?????? ?????? ???????) ????????????? ???? ???????? ?????????????? ??? ???????? ????"	"Endicottdagi almashinuv va ikki tomonlama diplom olish imkoniyatlari barcha kelib chiqishi (masalan, millati, moliyaviy holati, til bilishi va boshqalar) bo'lgan talabalar uchun ochiq va adolatli ravishda targ'ib qilinadi."	
Q80	Study Abroad	likert	Scheduling and time for appointments was available and useful.	→ 상담 일정과 시간은 충분히 제공되었고 도움이 되었습니다.	咨??段和????安排充足且?我?有?助。	Кездесулерд? жоспарлау ж?не уа?ыт ?олжет?мд? ж?не пайдалы болды.	???????? ??? ?????????????????? ???? ?????? ??? ??????? ????	Uchrashuvlarni rejalashtirish va vaqt mavjud va foydali edi.	
Q81	Study Abroad	likert	Study Abroad Booklets are easy to receive and understand.	→ 해외교류 안내 책자는 받기 쉽고 이해하기도 쉽습니다.	海外交流手?易于?取，也便于理解。	Шетелде о?у к?тапшаларын алу ж?не т?с?ну о?ай.	?????? ????????? ???????????? ????? ??? ???? ????	Chet elda o'qish bukletlarini olish va tushunish oson.	
Q82	Study Abroad	likert	"Global Center respects and supports my unique background, identity, and experiences when providing guidance."	"→ 글로벌센터는 안내 과정에서 저의 고유한 배경, 정체성, 경험을 존중하고 지원합니다."	全球中心在提供指??尊重?支持我?特的背景、身?和??。	"Global Center н?с?аулы? берген кезде мен?? ерекше ?м?рбаянымды, жеке басымды ж?не т?ж?рибемд? ??рметтейд? ж?не ?олдайды."	"??????? ??????? ???? ????? ??????, ?????? ??? ????????? ???????? ?????????? ?????? ??? ??? ?????? ????"	"Global markaz ko'rsatmalar berishda mening noyob kelib chiqishim, shaxsiyatim va tajribalarimni hurmat qiladi va qo'llab-quvvatlaydi."	
Q83	Study Abroad	likert	"The online resources (website, portals, etc.) related to exchange programs and dual-degree opportunities are user-friendly and informative."	"→ 교환 및 복수학위 프로그램 관련 온라인 자료(웹사이트, 포털 등)는 사용하기 편리하고 정보가 잘 제공되어 있습니다."	?交?和??位?目相?的?上?料（?站、??等）使用方便且信息充分。	"Алмасу ба?дарламалары мен ?ос диплом м?мк?нд?ктер?не ?атысты онлайн ресурстар (веб-сайт, порталдар ж?не т.б.) пайдаланушы?а ы??айлы ж?не а?паратты?."	"??????? ????????? ??? ?????-?????? ????? ????????? ?????? ??????????? (?????????, ???????, ???????) ???????????-?????? ??? ?????????"	"Almashinuv dasturlari va ikki darajali imkoniyatlar bilan bog'liq onlayn resurslar (veb-sayt, portallar va boshqalar) foydalanuvchilar uchun qulay va ma'lumotli."	
Q84	Study Abroad	text	Additional Comments/Suggestions	→ 추가 의견/제안	其他意?／建?	?осымша п?к?рлер/?сыныстар	???????? ???????/???????	Qo'shimcha izohlar/takliflar	
Q84	Student Services	likert	"When I go to Student Services or contact them, I know who is responsible for what and whom I need to approach to deal with my situation."	"→ 학생서비스센터를 방문하거나 연락할 때, 어떤 업무를 누가 담당하는지, 제 상황을 위해 누구를 찾아가야 하는지 알고 있습니다."	?我前往或?系?生服?中心?，我?楚每???由???，也知道??自己的情?????。	"Студентт?к ?ызметтерге бар?ан кезде немесе олармен байланыс?ан кезде, мен к?м не ?ш?н жауапты екен?н ж?не жа?дайымды шешу ?ш?н к?мге ж?г?ну?м керект?г?н б?лем?н."	"??? ??? ????????? ???????? ??? ?? ????? ???? ??????? ???, ??? ??? ???? ?? ???? ????????? ???????? ???? ???? ????? ??? ??? ???? ??????? ???? ????"	"Talabalar xizmatiga borganimda yoki ular bilan bog'langanimda, kim nima uchun mas'ul ekanligini va vaziyatimni hal qilish uchun kimga murojaat qilishim kerakligini bilaman."	
Q85	Student Services	likert	"The staff in Student Services is approachable, helpful, friendly, professional, and competent."	"→ 학생서비스센터 직원들은 쉽게 다가갈 수 있고, 도움을 잘 주며, 친절하고, 전문적이며 유능합니다."	?生服?中心工作人?平易近人、?于助人、友好??且能力出?。	"Студентт?к ?ызметтердег? ?ызметкерлер ?олжет?мд?, к?мекш?л, досты?, к?с?би ж?не ??зыретт?."	"????????? ??????????? ??????? ???????, ??????, ?????????????, ??????? ??? ?????"	"Talabalar xizmatidagi xodimlar ochiqko'ngil, yordamchi, do'stona, professional va malakali."	
Q86	Student Services	likert	Student Services is committed to multicultural interests.	→ 학생서비스센터는 다문화적 요구와 관심사를 적극적으로 반영하고 있습니다.	?生服?中心??回?多元文化方面的需求??趣。	Студентт?к ?ызметтер к?пм?дениетт? м?дделерге ба?ыттал?ан.	????????? ????????? ???????????? ????????? ????? ????????????????	Talabalar xizmati ko'p madaniyatli manfaatlarga sodiqdir.	
Q87	Student Services	likert	"In case of an emergency, the staff respond quickly and well."	"→ 비상 상황 발생 시, 직원들은 신속하고 적절하게 대응합니다."	?生?急情??，工作人?能?快速?妥善地做出??。	Т?тенше жа?дайда ?ызметкерлер тез ж?не жа?сы жауап беред?.	"????? ???????????, ??????? ????? ??? ??????? ????? ?????"	Favqulodda vaziyatlarda xodimlar tez va yaxshi javob berishadi.	
Q88	Student Services	likert	Financial aid is available for students in the form of scholarships (i.e. merit-based/need-based) and part-time job opportunities.	→ 학생들에게는 성적·필요기반 장학금과 교내외 아르바이트 기회 등 재정 지원이 제공됩니다.	?校??生提供了成?型／需求型??金以及校?外兼?等???助渠道。	"Студенттерге стипендиялар (я?ни, е?бег?не нег?зделген/?ажетт?л?кке нег?зделген) ж?не жартылай ж?мыс уа?ытында ж?мыс ?стеу м?мк?нд?ктер? т?р?нде ?аржылы? к?мек к?рсет?лед?."	????????????? ???? ?????? (?????? ???????-???????/????????-???????) ??? ????????? ?????? ??????? ????? ?????? ??????? ?????? ?????	"Talabalar uchun moliyaviy yordam stipendiyalar (ya'ni, xizmatga asoslangan/ehtiyojga asoslangan) va yarim kunlik ish imkoniyatlari shaklida mavjud."	
Q89	Student Services	likert	"Student Services Department respects and supports my unique background, identity, and experiences when providing guidance."	"→ 학생서비스센터는 상담 및 지원 과정에서 저의 고유한 배경, 정체성, 경험을 존중하고 지원합니다."	?生服?中心在咨??支持?程中尊重?支持我?特的背景、身?和??。	"Студентт?к ?ызметтер б?л?м? мен?? ерекше ?м?рбаянымды, жеке басымды ж?не т?ж?рибемд? ??рметтейд? ж?не басшылы? берген кезде ?олдайды."	"????????? ????????? ????? ???? ????? ??????, ?????? ??? ????????? ???????? ???? ?????????? ?????? ??? ??? ?????? ????"	"Talabalar xizmati bo'limi yo'l-yo'riq ko'rsatishda mening noyob kelib chiqishim, shaxsiyatim va tajribalarimni hurmat qiladi va qo'llab-quvvatlaydi."	
Q90	Student Services	text	Additional Comments/Suggestions	→ 추가 의견/제안	其他意?／建?	?осымша п?к?рлер/?сыныстар	???????? ???????/???????	Qo'shimcha izohlar/takliflar	
Q90	Residence	likert	"When I go to my residence, I know who is responsible for what and whom I need to approach to deal with my situation."	"→ 기숙사에 갈 때, 어떤 업무를 누가 담당하는지, 제 상황을 해결하기 위해 누구를 찾아가야 하는지 알고 있습니다."	?我前往宿舍?，我?楚每?事?由???，也知道?解?自己的??????。	"Мен ?з ?й?ме бар?ан кезде, к?м не ?ш?н жауапты екен?н ж?не жа?дайымды шешу ?ш?н к?мге ж?г?ну?м керект?г?н б?лем?н."	"??? ??? ???? ??????? ???, ??? ??? ???? ?? ???? ????????? ???????? ???? ???? ????? ??? ??? ???? ??????? ???? ????"	"Turar joyimga borganimda, kim nima uchun mas'ul ekanligini va vaziyatimni hal qilish uchun kimga murojaat qilishim kerakligini bilaman."	
Q91	Residence	likert	"The residence staff is approachable, helpful, friendly, professional, and competent."	"→ 기숙사 직원들은 쉽게 다가갈 수 있고, 도움을 잘 주며, 친절하고, 전문적이며 유능합니다."	宿舍工作人?平易近人、?于助人、友好??且能力出?。	"Жата?хана ?ызметкерлер? ?олжет?мд?, к?мекш?л, досты?, к?с?би ж?не ??зыретт?."	"?????? ??????? ???????, ??????, ?????????????, ??????? ??? ??????"	"Turar joyi xodimlari ochiqko'ngil, yordamchi, do'stona, professional va malakali."	
Q92	Residence	likert	I am familiar with the policies governing residence life.	→ 저는 기숙사 생활을 규율하는 규정을 잘 알고 있습니다.	我熟悉管理宿舍生活的各??定。	Мен жата?ханада?ы ?м?рд? реттейт?н саясатпен таныспын.	??? ?????? ???? ????????? ????????? ???? ???????	Men turar joy hayotini tartibga soluvchi siyosatlar bilan tanishman.	
Q93	Residence	likert	Residence rules are decent.	→ 기숙사 규정은 적절하다고 생각합니다.	我??宿舍?章制度是合理的。	Т?ру ережелер? лайы?ты.	?????? ????????? ??????	Turar joy qoidalari yaxshi.	
Q94	Residence	likert	Residence is safe and secure for students.	→ 기숙사는 학생들이 생활하기에 안전하고 보안이 잘 되어 있습니다.	宿舍??生??安全可?，安保措施完善。	Т?ру студенттер ?ш?н ?ау?пс?з ж?не сен?мд?.	????????????? ???? ?????? ????? ?????? ??? ?????????	Talabalar uchun turar joy xavfsiz va ishonchli.	
Q95	Residence	likert	"Residence is clean, comfortable, and adequate enough for students."	"→ 기숙사는 깨끗하고 편안하며, 학생들이 생활하기에 충분한 환경을 제공합니다."	宿舍?境干?舒适，足以?足?生生活需要。	"Т?ру орны таза, жайлы ж?не студенттер ?ш?н жетк?л?кт?."	"?????? ????? ????????, ????????? ??? ????????????? ???? ?????????"	"Turar joy toza, qulay va talabalar uchun yetarli darajada mos."	
Q96	Residence	likert	The residence promotes a friendly and supportive social environment among residents.	→ 기숙사는 입사생들 간에 친근하고 서로를 도와주는 사회적 분위기를 조성합니다.	宿舍?造了友好互助的社交??。	Т?р?ын ?й т?р?ындар арасында досты? ж?не ?олдаушы ?леуметт?к ортаны ?алыптастырады.	?????? ????? ??????????? ????? ????????????? ??? ?????? ??????? ?????? ???? ????	Turar joy aholisi orasida do'stona va qo'llab-quvvatlovchi ijtimoiy muhitni yaratadi.	
Q97	Residence	likert	"Residence regulations respect and support my unique background, identity, and experiences when providing guidance."	"→ 기숙사 규정과 운영은 제 고유한 배경, 정체성, 경험을 존중하고 지원합니다."	宿舍的?章?管理在??中尊重?支持我?特的背景、身?和??。	"Т?р?ын ?й ережелер? мен?? ерекше ?м?рбаянымды, жеке басымды ж?не т?ж?рибемд? ??рметтейд? ж?не басшылы? беред?."	"?????? ?????? ????????? ???? ????? ??????, ?????? ??? ?????????? ?????? ??? ??? ?????? ??? ??? ????????? ?????? ????"	"Turar joy qoidalari mening noyob kelib chiqishim, shaxsiyatim va tajribalarimni hurmat qiladi va ularga yo'l-yo'riq ko'rsatadi."	
Q98	Residence	likert	The price of the residence is reasonable and affordable.	→ 기숙사 비용은 합리적이고 부담할 만한 수준입니다.	宿舍?用合理，??得起。	Т?р?ын ?йд?? ба?асы ?олжет?мд? ж?не ?олжет?мд?.	?????? ?????? ??? ??????????? ??? ?????????	Turar joy narxi o'rtacha va arzon.	
Q99	Residence	text	Additional Comments/Suggestions	→ 추가 의견/제안	其他意?／建?	?осымша п?к?рлер/?сыныстар	???????? ???????/???????	Qo'shimcha fikrlar/takliflar	
Q99	Facilities	likert	Endicott building is well-designed.	→ 엔디컷 건물은 설계가 잘 되어 있습니다.	Endicott ?????合理。	Endicott ?имараты жа?сы жобалан?ан.	??????? ????? ?????????? ?????? ??? ???????	Endicott binosi yaxshi loyihalashtirilgan.	
Q100	Facilities	likert	The building is safe and well-maintained.	→ 건물은 안전하며 관리가 잘 되고 있습니다.	校舍安全且??良好。	?имарат ?ау?пс?з ж?не жа?сы к?т?лген.	????? ?????? ??? ??-???????????? ??? ???????	Bino xavfsiz va yaxshi saqlangan.	
Q101	Facilities	likert	The Internet and Wi-Fi connection in the building is stable and always available.	→ 건물 내 인터넷과 와이파이 연결은 안정적이며 항상 이용할 수 있습니다.	??的??? Wi?Fi ?接?定?且??可用。	?имаратта интернет ж?не Wi-Fi байланысы т?ра?ты ж?не ?р?ашан ?олжет?мд?.	???? ????????? ??? ?????-??? ????? ????????? ??? ?????? ???????	Binoda internet va Wi-Fi ulanishi barqaror va har doim mavjud.	
Q102	Facilities	likert	I can always print and copy without problems.	→ 인쇄와 복사를 하는 데 항상 큰 문제 없이 이용할 수 있습니다.	打印和?印服??乎?未出??重??。	Мен ?р?ашан еш ?иынды?сыз басып шы?ара ж?не к?ш?ре аламын.	??? ?????? ?????? ?????? ?????? ??? ??????? ???? ?????	Men har doim muammosiz chop etishim va nusxalashim mumkin.	
Q103	Facilities	likert	Classroom projectors and computers function properly.	→ 강의실의 프로젝터와 컴퓨터는 잘 작동합니다.	?室里的投影?和???行良好。	Сынып проекторлары мен компьютерлер д?рыс ж?мыс ?стейд?.	?????????? ????????? ??? ????????? ???????? ??? ????	Sinf proyektorlari va kompyuterlar to'g'ri ishlaydi.	
Q104	Facilities	likert	The temperature at Endicott is properly set according to the season.	→ 엔디컷 건물의 실내 온도는 계절에 맞게 적절하게 유지됩니다.	Endicott ??的?度?根据季?被适???。	Endicott-та?ы температура маусым?а с?йкес д?рыс орнатыл?ан.	????????? ????????? ??? ??????? ???????? ??? ??? ????	Endicottdagi harorat fasllarga mos ravishda to'g'ri o'rnatilgan.	
Q105	Facilities	likert	I am aware of where to go in case of medical emergencies.	→ 의료 응급 상황이 발생했을 때 어디로 가야 하는지 알고 있습니다.	我知道在出????急情????去?里。	Медициналы? т?тенше жа?дайлар кез?нде ?айда бару керект?г?н б?лем?н.	??????? ????? ??????????? ?????? ???? ??? ?? ??? ?????	Tibbiy favqulodda vaziyatlarda qayerga borishni bilaman.	
Q106	Facilities	likert	The Endicott facilities are designed with the environment in mind.	→ 엔디컷의 시설은 환경을 고려하여 설계되었습니다.	Endicott 的?施在???充分考?了?境因素。	Endicott нысандары ?орша?ан ортаны ескере отырып жасал?ан.	????????? ?????????? ???????? ??? ?????? ???? ?????? ??? ???????	Endicott inshootlari atrof-muhitni hisobga olgan holda ishlab chiqilgan.	
